,Date,Airline,Origin,Destination,DepTime,DepDelay,ArrTime,ArrDelay,AirTime,Distance,FlightNumber
130,2018-10-28,Delta Air Lines Inc.,ATL,CLE,1441.0,0.0,1625.0,1.0,77.0,554.0,1158
131,2018-10-28,Delta Air Lines Inc.,SEA,MSP,1328.0,0.0,1825.0,0.0,155.0,1399.0,1492
132,2018-10-28,Delta Air Lines Inc.,ATL,CLT,910.0,40.0,1032.0,48.0,47.0,226.0,1824
133,2018-10-29,Delta Air Lines Inc.,MSP,ATL,534.0,4.0,849.0,0.0,106.0,907.0,353
134,2018-10-29,Delta Air Lines Inc.,RSW,CVG,1347.0,0.0,1610.0,0.0,126.0,879.0,664
135,2018-10-29,Delta Air Lines Inc.,RDU,DTW,1721.0,0.0,1909.0,0.0,90.0,501.0,905
136,2018-10-29,Delta Air Lines Inc.,PDX,SLC,1658.0,0.0,1936.0,0.0,81.0,630.0,1194
137,2018-10-29,Delta Air Lines Inc.,DTW,PDX,838.0,0.0,1054.0,10.0,288.0,1953.0,1929
138,2018-10-29,Delta Air Lines Inc.,TPA,LGA,1508.0,0.0,1743.0,0.0,137.0,1010.0,2646
139,2018-10-29,Delta Air Lines Inc.,ORD,DTW,1644.0,0.0,1848.0,0.0,47.0,235.0,2866
140,2018-10-30,Delta Air Lines Inc.,ATL,BUF,1356.0,0.0,1545.0,0.0,98.0,712.0,1159
141,2018-10-30,Delta Air Lines Inc.,MCO,ATL,715.0,0.0,852.0,0.0,63.0,404.0,1289
142,2018-10-30,Delta Air Lines Inc.,XNA,ATL,556.0,0.0,830.0,0.0,74.0,589.0,1485
143,2018-10-30,Delta Air Lines Inc.,IND,MSP,1909.0,41.0,1951.0,31.0,83.0,503.0,1487
144,2018-10-30,Delta Air Lines Inc.,LAX,HNL,1028.0,0.0,1254.0,0.0,304.0,2556.0,1719
145,2018-10-30,Delta Air Lines Inc.,MSP,SEA,1422.0,2.0,1601.0,0.0,195.0,1399.0,1857
146,2018-10-01,Alaska Airlines Inc.,ANC,JNU,2240.0,132.0,12.0,132.0,80.0,571.0,70
147,2018-10-02,Alaska Airlines Inc.,LAX,SFO,1427.0,0.0,1535.0,0.0,48.0,337.0,1929
148,2018-10-03,Alaska Airlines Inc.,KTN,SEA,1250.0,0.0,1541.0,0.0,92.0,680.0,62
149,2018-10-03,Alaska Airlines Inc.,ANC,SEA,2351.0,0.0,346.0,0.0,164.0,1448.0,94
150,2018-10-03,Alaska Airlines Inc.,PDX,SFO,1931.0,0.0,2124.0,0.0,86.0,550.0,954
151,2018-10-03,Alaska Airlines Inc.,RDU,SFO,1912.0,0.0,2207.0,0.0,312.0,2400.0,1107
152,2018-10-04,Alaska Airlines Inc.,DFW,SEA,1947.0,0.0,2159.0,0.0,222.0,1660.0,667
153,2018-10-04,Alaska Airlines Inc.,DAL,SFO,1724.0,0.0,1925.0,9.0,220.0,1476.0,1717
154,2018-11-11,Southwest Airlines Co.,STL,LIT,2130.0,0.0,2233.0,0.0,52.0,296.0,3427
155,2018-11-12,Southwest Airlines Co.,AUS,LAX,938.0,13.0,1046.0,0.0,172.0,1242.0,167
